,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Denmark,0.008112968532711868,0.0014702365869234317,0.003629468580514465,-0.01153018422407724,0.009238442686206789,0.0017762535307794367,0.0009466254450741006,-0.00983996930521204
Djibouti,0.016556464563666676,0.04387512338249923,0.01365374415910959,0.02764749612067625,0.03664377204560824,0.02448157955762138,0.015988344492702106,0.02398879965120427
Dominica,-0.00422231342362375,0.03956951136936364,-0.10989764959710598,-0.11713494490850089,0.005393268376165554,0.005583218473052383,-0.1373392683736693,-0.09934927064696605
Ecuador,-0.009450713767892634,0.0017089852862993509,-0.0012788750140690095,0.014546741473035462,-0.008743560598458152,0.0006382845042803852,-0.0036453644417205116,0.014951044772447042
Egypt,-0.043764597878141305,-0.06082301983472435,-0.004450666444318732,-3.337667217786607e-06,-0.05045921018741583,-0.05297340134380506,-0.004246540490753321,-0.0021767371449928383
El Salvador,0.012303973704257249,0.027990788634099612,0.02653803461928336,0.010788758149130585,0.01886511748290217,0.025501262734484866,0.0201612119628644,0.01412351261676339
Estonia,-0.014043628885817616,-0.030111722712002353,-0.01872215184919024,-0.021193707215627456,-0.02175043688144995,-0.020092541563195898,-0.023702254076457176,-0.015683876758680434
Ethiopia,0.09527436768139506,0.04758702208541572,-0.032509485733664786,-0.05054994465449244,0.08649939052140848,0.052795839410961394,-0.04169051310166967,-0.0398478458970916
Ethiopia PDR,0.014596688089660182,0.012032095364170834,-0.013913245468138949,-0.005861165947220466,0.02123510156714538,0.01089737436671336,-0.02529852992583201,-0.0023182006298076477
Faroe Islands,0.011774899864322284,-0.017619663337570354,,,0.005296808850469849,-0.007976769038290085,,
Fiji,0.04308086884005126,0.039815870221550316,0.029852967582971835,0.020806011401459795,0.04032591627930124,0.04097976783213654,0.02427213005612346,0.01745660468874641
Finland,0.009347446389213794,-0.005931184209099403,0.015390729330225226,0.027691670617159082,0.007870110781497092,-0.003450925926500028,0.016416967923264313,0.025706700231158033
France,-0.005604410993932439,-0.006850029115959951,-0.01069883965442782,0.002997014147331805,-0.0069363999186226565,-0.005169840353560904,-0.012246989251854173,0.0030477483025150493
French Guiana,-0.005269146668575239,-0.01122401437424518,-0.028801094610490994,-0.0063179582540643184,-0.009754007131597341,-0.005822088715565915,-0.029034133753103174,-0.011073927074950194
French Polynesia,0.015325230694856995,0.029628217306006798,,,0.02935752936126623,0.018723633383729003,,
