,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
Dominica,-0.005915155942630685,0.030560383724470876,-0.0843772866015591,-0.09474853305193609,0.001363172954812776,0.002990883614278769,-0.1108077992709123,-0.07747171051853648
Ecuador,-0.009869733648134581,0.0004577280926284125,-0.0028123379810669233,0.010921194349010887,-0.009361411986005796,-0.0006551622903106706,-0.005479534510331273,0.011753470523417232
Egypt,-0.0395382666467395,-0.055371063301804566,-0.003927274712441821,0.0002812856498294748,-0.04607534544693312,-0.04791734166389753,-0.003737521175850359,-0.0017237432887345324
El Salvador,0.008691917808689904,0.023804680420765004,0.025260828724426816,0.011082765301362877,0.01476559805924306,0.02110127714645361,0.020003349047527107,0.014015895251374496
Estonia,-0.010774002937804145,-0.02533581608602936,-0.014935315555194171,-0.01722014928362852,-0.0178247221839754,-0.01650552046512372,-0.01936753268707885,-0.012435709097936036
Ethiopia,0.08611253572000972,0.047284623194952934,-0.027647443342000498,-0.043852369781587276,0.08026018492923938,0.05050706276958988,-0.035645144455198986,-0.034375871074137726
Ethiopia PDR,0.014467955463810949,0.019929721609266496,-0.0136975173501575,-0.00934509092041363,0.02170109717521515,0.015998015018146853,-0.024522498590277914,-0.005947219007679148
Faroe Islands,0.00969560126051622,-0.016032216212450153,,,0.005336266013899154,-0.00818203292621189,,
Fiji,0.036261718535299234,0.03503502938195305,0.023432222300927036,0.013221917727109914,0.03439926452181268,0.03553277037109354,0.018656362335487058,0.010565283451102964
Finland,0.008172136668305314,-0.0057217861504584066,0.012378655247218514,0.023360403463578764,0.006669153798623627,-0.0033451455228554667,0.013338089993508287,0.02153446963416206
France,-0.004753368522348756,-0.006111578877870319,-0.009121735496000528,0.0029373199925866555,-0.006106921657586793,-0.004553570392532335,-0.01059550476327116,0.002972592374842953
French Guiana,-0.004165608925576552,-0.010131082817525087,-0.03163844464946209,-0.013031156288310891,-0.008337445360152525,-0.005498670506286041,-0.031901560241384026,-0.017038045511348136
French Polynesia,0.01687106363946882,0.02805244635337231,,,0.02884558022240364,0.01838854776320618,,
Gabon,0.029144776280179113,0.01474799014226682,-0.07048699768316977,-0.07214790692978901,0.02963541322548651,0.018087142119129956,-0.07417425675169434,-0.06994588496141461
"Gambia, The",-0.06398356838058857,0.010038913211047511,0.029585370523733702,0.019987949282742456,-0.05670104297444953,0.01229220430950695,0.029334073845495606,0.018907673611840054
Georgia,-0.005164578050137337,0.02354028384609829,-0.15557059478911905,-0.10726311399491595,0.0022200884866700192,0.015694041252915056,-0.15122124076953608,-0.11770253792184486
Germany,-0.008844164351164242,0.0006807457998874487,0.005806351327010435,-0.00540621593514483,-0.009254916268732575,0.0018652075349529886,0.00279994968802803,-0.002979849912970895
Ghana,-0.016125356650869012,-0.002481493323826724,0.012397689190885885,0.031417850086597,-0.014715478926722352,-0.006258816281168295,0.013499100178727848,0.029092463701340318
Greece,-0.0036139328428858256,-0.005216248379674151,-0.020045674240543293,-0.01847683012072154,-0.008191614580947184,-0.0009638115754047983,-0.024159107115753847,-0.015984671872427608
Greenland,0.009989779861707173,-0.003796262787918042,-0.02402714764903918,0.14963854874207155,0.01999531860175124,-0.00614847633167835,-0.028803617747659577,0.15188120034934408
Grenada,-0.014751268371687188,-0.015801932982542594,-0.018187090319725988,-0.09095829870971577,-0.013449815178950704,-0.016209658163423256,0.004858635655318666,-0.1018217433369458
Guadeloupe,-0.0025219669354359857,-0.006416958971079463,0.037757948851594565,0.029101610684803977,-0.002538258136100921,-0.0049751913591127355,0.05169242249874282,0.022991416654956236
Guatemala,0.010858990284211589,0.010649788109800025,-0.007620852145908327,0.006233084381597146,0.016596935147767534,0.0074869747752878265,-0.009301814611732124,0.007984442078908126
Guinea,-0.09267403104111471,-0.044253106894114734,0.12409745265833286,0.09268834410160244,-0.09745452591773403,-0.04620999691536921,0.10426855705836958,0.10675905453380453
Guyana,0.009593709177997302,0.0250216515361156,0.017892264642587502,0.00979195953086522,0.009348909129022271,0.027567520062474468,0.02202049777230476,0.005011770179083089
Honduras,-0.019842589272860537,-0.008888414531263369,0.006907256147118478,0.020173990232880485,-0.020691566711544988,-0.006338256990058283,0.008396878025853092,0.016107597372332423
Hungary,0.03993348279233979,0.031677951423825665,0.0071282062400440625,0.0007937851507404609,0.0411218714807812,0.031304974592551264,0.005923213474923218,0.0026396165095432305
Iceland,-0.009132200904504133,-0.021618947136579688,0.027317986751144774,-0.008560332292943106,-0.009357184125351137,-0.020035357514409248,0.012064248932152586,0.005479951192378452
India,0.01271292823357491,0.013082082814420444,-0.005816268903330323,0.0010003806216208123,0.012432520095850684,0.013580068926965323,-0.007058530504355225,0.0019130392422603561
